type	id	lat	long
rta	Knokke-Heist	51.331501	3.3088260000000003
rta	Kocaeli	40.886367	29.905212
rta	Komen	45.8175	13.7483
rta	Konya	37.859743	32.495438
rta	Kosice	48.7164	21.2611
rta	Kostoliste	48.4467	16.9868
rta	Kraainem	50.8611	4.4593
rta	Krasnodar Region	45.6415	39.7056
rta	Krasnoyarsk Region	64.248	95.1104
rta	Kuala Lumpur	3.139	101.6869
rta	Kuwait	29.452987	47.447194
rta	KwaZulu-Natal	-28.704797999999997	30.693005
rta	Kyoto	35.007542	135.76845500000002
rta	La Louviere	50.469989	4.158129
rta	La Rioja	42.2871	-2.5396
rta	Lagos	6.54252	3.286661
rta	Lanaken	50.884429	5.634002
rta	Lapland	67.700017	26.273752
rta	Lasne	50.679575	4.463992
rta	Lazio	41.994328	12.622686
rta	Leuven	50.8798	4.7005
rta	Liège	50.6326	5.5797
rta	Lima	-11.971424	-77.070229
rta	Limburg	51.230477	5.9567440000000005
rta	Limerick	52.662234999999995	-8.627564999999999
rta	Linter	50.818098	5.042221
rta	Lipetsk Region	52.5265	39.2032
rta	Lisbon	38.7223	-9.1393
rta	Lombardy	45.4791	9.8452
rta	Louisiana	30.9843	-91.9623
rta	Louth	53.9508	-6.5406
rta	Lubbeek	50.880093	4.821901
rta	Lucerne	47.0502	8.3093
rta	Lummen	50.995515999999995	5.181081
rta	Luxembourg	49.755428	6.119486
rta	Madrid	40.4168	-3.7038
rta	Malopolskie	49.7225	20.2503
rta	Manitoba	55.18287900000001	-97.823531
rta	Marche	43.374025	13.161012
rta	Martin	49.0617	18.919
rta	Maryland	39.0458	-76.6413
rta	Massachusetts	42.340740999999994	-71.998513
rta	Mbour	14.427132	-16.966573999999998
rta	Medellin	6.2486	-75.5742
rta	Melbourne	-37.8136	144.9631
rta	Merelbeke	50.9945	3.7456
rta	Mexico City	19.404497	-99.143041
rta	Michigan	45.021203	-84.762273
rta	Minas Gerais	-18.35789	-44.411895
rta	Minnesota	46.126042	-94.61958100000001
rta	Missouri	37.9643	-91.8318
rta	Mons	50.445439	3.962794
rta	Montevideo	-34.823827	-56.211799
rta	Montigny-le-Tilleul	50.374916999999996	4.371814
rta	Moscow	55.7558	37.6173
rta	Moscow Region	55.3404	38.2918
rta	Mouscron	50.738645	3.23861
rta	Munich	48.144746999999995	11.561739
